source,text,gemma3:12b_question,gemma3:12b_answer,category,content_category,gemma3:12b_answer_concise
https://www.visitpittsburgh.com/jazz-festival/,                Pittsburgh International Jazz Festival | Visit Pittsburgh                                    Skip to content        Newsletter   Discover Your Persona                          59°F                                      ,What is the name of the event featured on the webpage?,The webpage features the Pittsburgh International Jazz Festival.,Specific information questions,Events in Pittsburgh and CMU,Pittsburgh International Jazz Festival
https://www.pittsburghpa.gov/Recreation-Events/Events/Dollar-Bank-Cinema-In-The-Park,  Contacting 311ADA & Disability RightsSub-menu  Take Our Accessibility SurveyDisability Resources CenterStatutes & PoliciesCity County Task Force on DisabilityMake an Accommodations RequestCCB Accessibility EntranceFile a GrievanceOEP NewsFAQsSnow RemovalSub-menu  Snow Plow TrackerSnow & IceRoad MaintenanceSub-menu  Street MaintenancePaving SchedulePotholesRoad SafetyFood ProgramsSub-menu  After School Feeding ProgramSummer Food ProgramBigBurghPets & AnimalsSub-menu  Dog LicenseAnimal ControlCommunity ProgrammingSub-menu  Love Your BlockCity CutsSnow AngelsBlack Pittsburgh MattersImmigrant and Refugee AffairsTree ResourcesSub-menu  Tree PlantingRequest Tree WorkForestry Division  Recreation & Events Sub-menu  ParksSub-menu  Our ParksFor KidsFor SeniorsDog ParksTennisCitiSportsOutdoor ActivitiesCity FarmsCommunity Garden PlotsPoolsSub-menu  Oliver Bath HouseOutdoor PoolsSpray ParksPool FeesRulesCitiparks LifeguardEventsSub-menu  Farmers MarketsDollar Bank Cinema In The ParkRoving Art CartARTWorksConcertsFootracesHolidays At City-County BuildingPistons in the Park Car CruisePittsburgh Cultural ActivitiesSummer Soul Line DancingPark FacilitiesSub-menu  Schenley Skating RinkRecreation CentersSpecial EventsSub-menu  Pittsburgh E-Arena TournamentAnnual Gingerbread House CompetitionIndependence Day CelebrationBlack History MonthCommunity FestivalsContact Special EventsSpecial Events NewsAbout ParksSub-menu  Citiparks Phone DirectoryParks RulesPark RangersPark MaintenanceParks FAQFilm & Event ManagementSub-menu  Important DocumentsSpecial Event & Block Party PermittingFilm PermitsSpecial Events CommitteePublic Event CalendarPark PermitsSub-menu  Reserve Park ShelterSports Field Permit  City Government Sub-menu  MayorSub-menu  Biography2025 Governing AgendaMayor's CabinetYouth Civic Leadership AcademyPress ReleasesContactLetters of Support FormsExecutive OrdersOffice of Immigrant and Refugee AffairsMy Brother's KeeperCity-County BuildingKey Focus Areasi-teamCity ControllerSub-menu  About the ControllerFiscal Focus PGHAudits & ReportsPittsburgh WatchdogUnclaimed PropertyCampaign FinancesDisclosure of Interest ReportsCity CouncilSub-menu,"What resources are available for individuals with disabilities, according to the provided text?","The text lists resources for individuals with disabilities including 311ADA, the Disability Rights sub-menu, a Disability Resources Center, and a process for making accommodation requests.",Specific information questions,Events in Pittsburgh and CMU,"311ADA, the Disability Rights sub-menu, a Disability Resources Center, and accommodation request process."
https://www.pittsburghpa.gov/Recreation-Events/Events/Farmers-Markets,"  Public Safety BlotterPublic Safety Press ReleasesPublic Safety Press Release ArchiveCOVID-19 UpdatesPublic SafetySub-menu  Animal Care & ControlDisruptive PropertiesEmergency Management and Homeland SecurityNighttime EconomyOffice of Film & Event ManagementPark RangersViolence PreventionPublic Safety Contacts  Business & Development Sub-menu  City PlanningSub-menu  About City PlanningCity Planning Meeting CalendarCity Planning Public NoticesCommissions and BoardsNeighborhood PlanningPlanning ProjectsPlanning ProgramsHistoric PreservationPublic ArtProcess GuidesMobility and InfrastructureSub-menu  About Mobility and InfrastructureMapsPlansCurrent DOMI ProjectsTransportation Development ReviewRight-of-Way ManagementPermits, Licenses, and InspectionsSub-menu  Applications & FormsOne Stop PGHPermitsLicensesBulletinsCommunity ResourcesCode EnforcementCondemned BuildingsPLI FeesBuilding CodesAppealsPLI ContactsAnnouncementsRegistrationsInnovation & PerformanceSub-menu",What sub-menus are available under the 'Public Safety' main menu?,"Under the 'Public Safety' main menu, sub-menus are available for Animal Care & Control, Disruptive Properties, Emergency Management and Homeland Security, Nighttime Economy, Office of Film & Event Management, Park Rangers, Violence Prevention, and Public Safety Contacts.",Specific information questions,Events in Pittsburgh and CMU,"Animal Care & Control, Disruptive Properties, Emergency Management, Nighttime Economy, Film & Event Management, Park Rangers, Violence Prevention, and Public Safety Contacts."
Pittsburgh_City_Paper_Events_Page_21_20250310_004822.json,"Continuing Legal Education: War Ethics in the Jewish Legal Tradition
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
            Thu., June 26, 8:30-10:45 a.m.
          
Lecture
            War involves a host of moral and legal dilemmas.
This session will explore these issues from a Jewish perspective: How do we know when war is just? How should we deal with innocent civilians? How are Jewish legal ideals incorporated into the conduct of the IDF?
          
        
          
            412-992-5221",What topics will be explored during the 'Continuing Legal Education: War Ethics in the Jewish Legal Tradition' session?,"The session will explore topics such as determining when war is just, how to deal with innocent civilians, and how Jewish legal ideals are incorporated into the conduct of the IDF.",Specific information questions,Events in Pittsburgh and CMU,"Just war principles, civilian protection, and IDF conduct through a Jewish legal lens."
Pittsburgh_City_Paper_Events_Page_3_20250310_004636.json,"Pet Adoption League
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
            Ongoing
          
Volunteers
            Westmoreland  County no-kill shelter with many puppy mill rescues seeking foster homes and volunteers for all aspects of shelter operation: dog walking, cat cuddling, fund raising, etc. Yukon, PA.
          
        
          
            724-953-9050",What types of assistance does the Pet Adoption League seek from volunteers?,"The Pet Adoption League, a Westmoreland County no-kill shelter, seeks volunteers for various tasks including dog walking, cat cuddling, and fundraising.",Specific information questions,Events in Pittsburgh and CMU,"Dog walking, cat cuddling, and fundraising."
https://www.visitpittsburgh.com/blog/pittsburgh-summer-festivals/,"     Pittsburgh International Jazz Festival | Sept. 14-17, 2024 The Pittsburgh International Jazz Festival presented by Citizens Bank brings people from all over the world to Pittsburgh for jazz and community. This year's lineup is coming soon.     The Original Pittsburgh Taco Festival | Sept. 14, 2024 Pittsburgh's top tacos and food trucks take over The Stacks at 3 Crossings! Enjoy this community-centered event which features more than 25 food trucks and vendors plus live music, an art market and family fun. This festival is produced with the support of the Pittsburgh Hispanic Development Corporation (PHDC) and Casa San Jose.     Highmark Blues & Heritage Festival | TBD 2024 Head to Highmark Stadium for the annual Highmark Blues & Heritage Festival!         Related Blogs                                                                10 Things to Do on Pittsburgh’s Three Rivers                                                             Learn More                                                                                              Insider’s Guide: Gateway Clipper Fleet                                                             Learn More                                                                                              10 Wet Ways to Stay Cool in Pittsburgh                                                             Learn More                                                                                              Where to Enjoy a Summer Beer in Pittsburgh                                                             Learn More                                                                                              Pittsburgh’s Northside Music Festival                                                             Learn More                                                                                              Insider’s Guide to Bloomfield                                                             Learn More                                                                                              Pittsburgh is Picklesburgh!                                                             Learn More                                                                                              Pittsburgh Pride 2024                                                             Learn More                                                                                              Insider’s Guide to Anthrocon with Manicknux                                                             Learn More                                                                                              Ways to Celebrate the 4th of July in Pittsburgh in 2024                                                             Learn More                                                          Author Asaka N.                 Plan Your Trip with the new Pittsburgh Insider's Guide   Start Planning         Contact UsPrivacyBlogAbout Us         120 Fifth AvenueFifth Avenue PlaceSuite 2800Pittsburgh, PA 15222 (412) 281-7711Toll Free: (877) 568-3744        ©️2025 Visit Pittsburgh. All Rights Reserved. Privacy Policy             This site uses cookies to enhance your experience.                 Accept    Experience Builder                           Quick Search           Full Search               Location Map               ",What bank sponsors the Pittsburgh International Jazz Festival?,The Pittsburgh International Jazz Festival is proudly presented by Citizens Bank.,Specific information questions,Events in Pittsburgh and CMU,Citizens Bank
https://www.pittsburghpa.gov/Recreation-Events/Special-Events/Community-Festivals,"  Reserve Park ShelterSports Field Permit  City Government Sub-menu  MayorSub-menu  Biography2025 Governing AgendaMayor's CabinetYouth Civic Leadership AcademyPress ReleasesContactLetters of Support FormsExecutive OrdersOffice of Immigrant and Refugee AffairsMy Brother's KeeperCity-County BuildingKey Focus Areasi-teamCity ControllerSub-menu  About the ControllerFiscal Focus PGHAudits & ReportsPittsburgh WatchdogUnclaimed PropertyCampaign FinancesDisclosure of Interest ReportsCity CouncilSub-menu  DistrictsClerk's OfficeNeighborhoods & WardsLegislative InformationCouncil Budget OfficeCity Council ContactsBoards, Authorities, CommissionsSub-menu  Member RostersAgendas & MinutesList of Boards, Authorities, CommissionsLegal ServicesSub-menu  Department of LawOffice of Equal ProtectionCommission on Human RelationsEthics Hearing BoardOffice of Municipal InvestigationsCity OrdinancesFile a Claim with LawRight to KnowJobsSub-menu  CareersHuman Resources and Civil ServiceFinances & BudgetSub-menu  TaxesNew Business RegistrationReal EstateFee ScheduleCampaign FinancesManagement & BudgetContacts & InformationSub-menu  Frequently Requested NumbersCity Press Release ArchiveCity Channel Pittsburgh  Safety Sub-menu  PoliceSub-menu  Police ZonesPolice Officer RecruitmentFile a Police ReportSubmit a TipSubmit a Silent ComplaintCompliment an OfficerPolice Data PortalBranchesAbout PoliceFireSub-menu  Fire Station Location MapGirls Firefighter CampFire Permit InformationAnnual ReportsBureau of Fire ContactsAbout Bureau of FireFirefighter RecruitmentFire Safety ProgramsAnimal Care & ControlSub-menu  For Pet OwnersDog LicensesSpay/Neuter ProgramStray AnimalsRodent Baiting ProgramBeekeeping and Farm Animal PermitsLiving with WildlifeAnimal Control FAQsEmergency Medical ServicesSub-menu",What services are provided by the Office of Municipal Investigations?,"The Office of Municipal Investigations provides services under the broader Legal Services sub-menu, alongside the Department of Law, Office of Equal Protection, Commission on Human Relations, Ethics Hearing Board, and City Ordinances.",Specific information questions,Events in Pittsburgh and CMU,"The Office of Municipal Investigations is part of the Legal Services sub-menu, alongside related city departments and offices."
https://www.pittsburghpa.gov/Recreation-Events/Park-Permits,  Ambulance DivisionSpecial Event OperationsTraining DivisionAnnual ReportsEMS ContactsPrivacy PracticesBecome a ParamedicFreedom House EMT TrainingOffice of Community Health and SafetySub-menu  Health and Safety ResourcesMeet the StaffCommunity Office HoursJoin Our Team!Community EngagementAnnouncements & Press ReleasesNewsletterContact FormAlertsSub-menu  Public Safety BlotterPublic Safety Press ReleasesPublic Safety Press Release ArchiveCOVID-19 UpdatesPublic SafetySub-menu  Animal Care & ControlDisruptive PropertiesEmergency Management and Homeland SecurityNighttime EconomyOffice of Film & Event ManagementPark RangersViolence PreventionPublic Safety Contacts,What divisions are included within the Ambulance Division?,The Ambulance Division includes special event operations and a training division.,Specific information questions,Events in Pittsburgh and CMU,Special events and training.
cmu_events.csv,"CMU Drama Presents: The Inseparables
2025-03-23
  Puppets. Pool noodles. Putting on a play!",What theatrical elements are featured in CMU Drama's production of 'The Inseparables'?,"CMU Drama's production of 'The Inseparables' features puppets, pool noodles, and the act of putting on a play.",Specific information questions,Events in Pittsburgh and CMU,"Puppets, pool noodles, and play-making."
Pittsburgh_City_Paper_Events_Page_6_20250310_004641.json,"Hot Metal Blues
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
            Tuesdays, 8-11 p.m.
          
Lot 17
                4617 Liberty Avenue, Pittsburgh
              
                  Bloomfield
                
                Free
              
Dance
            Come on out to Lot 17 in Bloomfield on Tuesday nights to learn how to Blues dance!
What is Blues dancing you ask?
Dancing to Blues music is an informal, relaxed form of dance with no basic footwork focusing on the feeling and rhythms in the music.
Schedule
Lesson: 8-9
Social dancing: 9-11
          
        
          
            412-687-8117",What type of dance is taught at Hot Metal Blues?,"Hot Metal Blues teaches Blues dance, which is an informal and relaxed form of dance focused on feeling and rhythms in the music, rather than basic footwork.",Specific information questions,Events in Pittsburgh and CMU,Blues dance.
https://www.pittsburghpa.gov/Recreation-Events/Park-Permits/Reserve-Park-Shelter,"         
      City of Pittsburgh, PA - Home - Logo
          Open Search    Menu         Resident Services  Sub-menu  Trash & RecyclingSub-menu  Collection Schedule and NewsletterCurbside Pick UpCommercial RecyclingSpecial Event RecyclingDrop-Off Info & Additional ResourcesAnti-Litter and Illegal Dumping311Sub-menu",What services are available to residents within the 'Resident Services' sub-menu?,"The 'Resident Services' sub-menu provides information on trash & recycling, including collection schedules, commercial recycling, special event recycling, drop-off locations, anti-litter programs, and access to 311.",Specific information questions,Events in Pittsburgh and CMU,"Trash & recycling collection schedules, commercial/special event recycling, drop-off locations, anti-litter programs, and 311 access."
https://www.visitpittsburgh.com/events-festivals/food-festivals/,"                 Pittsburgh Veg Fair May 4 | Rockwell Park Pittsburgh VegFest is celebrating 10 years in a big way with this East End celebration! This free entry food festival will showcase veg food, small businesses and animal welfare NPOs. Seating is available inside once you grab your food truck grub!                 View this post on Instagram            A post shared by Pittsburgh VegFest (@pittsburghvegfest)                 Greek Food Festivals Select dates throughout Pittsburgh May-Sept. 2024  Our Insider's Guide to Pittsburgh Greek Food Festivals provides a complete listing of the many Greek festival dates and locations.",What is the Pittsburgh VegFest celebrating and where is it taking place?,"Pittsburgh VegFest is celebrating 10 years with an East End celebration at Rockwell Park, and it is a free entry food festival.",Specific information questions,Events in Pittsburgh and CMU,Pittsburgh VegFest celebrates 10 years with a free food festival at Rockwell Park.
https://www.visitpittsburgh.com/blog/pittsburghs-northside-music-festival/,"                  Northside Music Festival | July 12-14, 2024 #LovePGH | Visit Pittsburgh                                    Skip to content        Newsletter   Discover Your Persona                          59°F",When will the Northside Music Festival take place?,"The Northside Music Festival will be held from July 12-14, 2024.",Time-sensitive questions,Events in Pittsburgh and CMU,"July 12-14, 2024"
Pittsburgh_City_Paper_Events_Page_15_20250310_004739.json,"Free Throws & Field Goals Sports Trivia Night
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
            Thu., March 27, 7-11 p.m.
          
PNC Park
                115 Federal st., Pittsburgh
              
                  North Side
                
                    Get Tickets 
                  
                Early Bird: $25/person (Ends March 17). General Admission: $36/person
              
Fundraisers
            Join Jewish Federation of Greater Pittsburgh's YAD Philanthropy for our annual fundraising event with a sporty twist. Will your team come out on top and win the grand prize? Register now and find out! Donations at this event contribute towards our community campaign, which supports Jewish life locally and globally.
Teams limited to 4-5 people.
          
        
          
            412-992-5204",What is the early bird ticket price for the Free Throws & Field Goals Sports Trivia Night?,"The early bird ticket price for the Free Throws & Field Goals Sports Trivia Night is $25 per person, but this price ends on March 17th.",Time-sensitive questions,Events in Pittsburgh and CMU,"$25, until March 17th."
Downtown_Pittsburgh_Events_20250310_004602.json,"Arts + Culture,
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
Entertainment
Short Form Jelly with Select Start
Mar 16, 2025
   | 7:30 pm - 8:30 pm
Join comedy troupe Select Start as they host a short form improv jam open to all performers! Join them on stage for a night of improv games. Performers can sign up at the box office when they arrive. Audience members can sit back, laugh, and inspire the comedy with all kinds of fun suggestions.
READ MORE","What type of performance will comedy troupe Select Start host on March 16, 2025?","Comedy troupe Select Start will host a short form improv jam open to all performers on March 16, 2025, from 7:30 pm to 8:30 pm.",Time-sensitive questions,Events in Pittsburgh and CMU,A short form improv jam.
https://www.visitpittsburgh.com/pittsburgh-anthrocon/,"                 View this post on Instagram            A post shared by Anthrocon, Inc (@anthrocon)              Exclusive Discounts for Attendees  Anthrocon attendees: Be sure to take take advantage our new Show Your Badge program! By downloading the free pass directly on your phone (no app needed), you can easily find partner businesses, restaurants and attractions unlock special discounts and offers. Download the badge below and visit the official webpage to learn more about the program. Please Note: Offers included in the Show Your Badge program cannot be combined with any other discounts or offers.",What is the 'Show Your Badge' program and what benefit does it provide to Anthrocon attendees?,"Anthrocon attendees can benefit from the 'Show Your Badge' program by downloading a free pass to their phone, which unlocks special discounts and offers from partner businesses, restaurants, and attractions, but these offers cannot be combined with other discounts.",Time-sensitive questions,Events in Pittsburgh and CMU,'Show Your Badge' provides Anthrocon attendees with a free mobile pass for exclusive discounts from partner businesses—these offers aren't combinable.
https://www.pittsburghpa.gov/Recreation-Events/Park-Facilities/Recreation-Centers,"         
      City of Pittsburgh, PA - Home - Logo
          Open Search    Menu         Resident Services  Sub-menu  Trash & RecyclingSub-menu  Collection Schedule and NewsletterCurbside Pick UpCommercial RecyclingSpecial Event RecyclingDrop-Off Info & Additional ResourcesAnti-Litter and Illegal Dumping311Sub-menu",What services are available to residents regarding trash and recycling?,"The City of Pittsburgh provides resident services including curbside pick up, commercial recycling, special event recycling, drop-off information, anti-litter programs, and illegal dumping resources, all accessible through the 311 service.",Time-sensitive questions,Events in Pittsburgh and CMU,"Curbside pick up, commercial/event recycling, drop-off information, anti-litter programs, and illegal dumping resources are available through 311."
Downtown_Pittsburgh_Events_20250310_004602.json,"Arts + Culture,
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
Entertainment,
Film & Movies
International Art House Classics: M (1931) 35mm
Mar 8, 2025 - Mar 13, 2025
One of the greatest films of all time, Fritz Lang's M revolutionized the medium with its inventive soundscape, acute social commentary, and stunning visuals.
READ MORE","What film is being screened as an International Art House Classic from March 8, 2025 to March 13, 2025?","Fritz Lang's M (1931) is being screened as an International Art House Classic from March 8, 2025 to March 13, 2025.",Time-sensitive questions,Events in Pittsburgh and CMU,M (1931)
Pittsburgh_Events_May_20250310_004611.json,"May
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
02
2025
7:30 PM
Fri
Come From Away
Benedum Center
15222, Pittsburgh, Pennsylvania, US
Prices from $168
Tickets","What musical performance is scheduled at the Benedum Center on May 2, 2025?","Come From Away is scheduled to perform at the Benedum Center in Pittsburgh, Pennsylvania on May 2, 2025 at 7:30 PM.",Time-sensitive questions,Events in Pittsburgh and CMU,Come From Away
Pittsburgh_Events_May_20250310_004611.json,"May
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
04
2025
5:00 PM
Sun
Fortune Feimster 
Carnegie of Homestead Music Hall
15120, Pittsburgh, Pennsylvania, US
Prices from $106
Tickets","What is the performance scheduled for May 4, 2025 at the Carnegie of Homestead Music Hall?","Fortune Feimster is performing at the Carnegie of Homestead Music Hall on May 4, 2025 at 5:00 PM, located at 15120, Pittsburgh, Pennsylvania, US, with tickets priced from $106.",Time-sensitive questions,Events in Pittsburgh and CMU,"Fortune Feimster performs May 4, 2025 at 5:00 PM; tickets from $106."
Downtown_Pittsburgh_Events_20250310_004602.json,"Community,
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
Workshops & Classes
Backstage/Onstage with Joe Grushecky
Mar 20, 2025
   | 5:00 pm - 7:00 pm
Join us for an inspiring conversation with Joe Grushecky, acclaimed Pittsburgh musician and educator, as he shares his journey of keeping his passion for music alive.
READ MORE","What is the topic of the workshop featuring Joe Grushecky on March 20, 2025?","The workshop featuring Joe Grushecky on March 20, 2025, will focus on his journey of maintaining his passion for music.",Time-sensitive questions,Events in Pittsburgh and CMU,Joe Grushecky's musical passion.
Pittsburgh_Events_June_20250310_004614.json,"Jun
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
04
2025
1:00 PM
Wed
Houston Astros at Pittsburgh Pirates 
PNC Park
15212, Pittsburgh, Pennsylvania, US
Prices from $25
Tickets",What is the scheduled time and date for the Houston Astros versus Pittsburgh Pirates game?,"The Houston Astros will play the Pittsburgh Pirates at PNC Park on Wednesday, June 2025 at 1:00 PM.",Time-sensitive questions,Events in Pittsburgh and CMU,"Wednesday, June 18, 2025, at 1:00 PM."
Pittsburgh_City_Paper_Events_Page_20_20250310_004815.json,"Brass Metropolis: A Tribute to Chicago
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
            Sat., May 3, 8-10:30 p.m.
          
The Lamp Theatre
                222 Main Street, Irwin
              
                  North Huntingdon
                
                    Get Tickets 
                  
                $35
              
Rock
            Tickets on sale NOW! Purcase tickets at: https://www.lamptheatre.org/brass-metropolis
Brass Metropolis is an eight-piece band that has all the excitement, artistry and virtuosity of early Chicago Transit Authority. The band gives a performance that will take you on a musical journey that brings together all of the elements that made CHICAGO® extraordinary: the contrast and interplay between Terry Kath and Peter Cetera, intricate vocal arrangements, a phenomenal horn section, and a dazzling rhythm section. It’s all about the music. No backing tracks or tricks. If you wish you could have seen CHICAGO® in the 1970s, you need to see Brass Metropolis
          
        
          
            724-367-4000",What is the name of the band performing at The Lamp Theatre on May 3rd?,"Brass Metropolis, an eight-piece band paying tribute to Chicago Transit Authority, will be performing at The Lamp Theatre on May 3rd.",Time-sensitive questions,Events in Pittsburgh and CMU,Brass Metropolis
Pittsburgh_City_Paper_Events_Page_16_20250310_004746.json,"World Literature: Marcia Douglas (UK, Jamaica), “The Jamaica Kollection of the Shante Dream Arkive”
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
            Sun., March 30, 3-4 p.m.
          
City of Asylum @ Alphabet City
                40 W. North Ave, Pittsburgh
              
                  North Side
                
                    Get Tickets 
                  
                Free
              
Literary
            Whiting Award-winner Marcia Douglas is joined by World Literature connoisseur Anderson Tepper to discuss her forthcoming book, The Jamaica Kollection of the Shante Dream Arkive, a startling new dream-like vision of Jamaica to be released April 2025. The Shante Dream Arkive brings alive a mosaic of characters—all searching through history for something or someone lost to the island: a mother searches for her missing child through time and space; an undocumented migrant struggles with loss while living in the US; a youth wanders through dream-gates seeking liberation and the lost parts of himself.
          
        
          
            412-435-1110",What is the title of Marcia Douglas’s forthcoming book being discussed at the event?,"Marcia Douglas will be discussing her forthcoming book, *The Jamaica Kollection of the Shante Dream Arkive*, which will be released in April 2025.",Time-sensitive questions,Events in Pittsburgh and CMU,*The Jamaica Kollection of the Shante Dream Arkive*
2024_Operating_Budget.pdf,"What is the Operating Budget? The Operating Budget functions as the financial plan for the current fiscal year. Reported within this document are  figures related to planned expenditures and projected revenues for the upcoming fiscal year. Expenditures are  spread across all City Departments, Bureaus, and Elected Offices. These expenditures represent costs for the  administration and distribution of governmental services. These services include, but are not limited to: public  safety, refuse collection, snow removal, street paving, the issuance of permits and licenses, and maintenance and  programming for local parks and community recreation centers. In addition, the General Fund also supports the  routine administration of local government that includes employee wages and health benefits, workers’  compensation benefits, utility and fuel usage, the funding of municipal pension plans, and debt service. The City collects revenues to finance the costs associated with delivering services to residents. Revenues are  collected by the City from the levy of taxes, collection of fees related to the issuance of permits and licenses,  charges for services provided by City Departments, fines and forfeitures, intergovernmental revenues, and other  revenue generating mechanisms.  The Operating Budget combines information relating to expenditures and revenues, creating a plan as to what  governmental services can be executed by the City and subsequently delivered to the public within a given fiscal  year. The detailed financial figures within this document illustrate both the cost incurred by the City of Pittsburgh in  delivering services to the public and the means through which these costs are financed. The Operating Budget also stands as a policy document outlining the strategic initiatives of both the Mayor and  Members of City Council. Laws established by the Commonwealth of Pennsylvania restrict how much money the  City of Pittsburgh may raise through the levy of taxes and charges for permits and licenses. As a result, the City of  Pittsburgh must balance the demands for services against the available resources that it can legally acquire  through tax and non-tax revenue generating mechanisms. Given the reality of scarce resources, the City must  prioritize initiatives and fund only those determined to be most essential and beneficial to the overall health of the  City. The level of funding allocated to individual Departments and programs within the City clearly exhibits  priorities set by the City’s elected public officials. Finally, the Operating Budget can be viewed as a legally binding document. All of the costs incurred by the City of  Pittsburgh in providing day-to-day public services must be paid for out of the Operating Budget. Therefore, the  City of Pittsburgh must act within the confines of the financial details outlined within this document. The Operating  Budget can only be altered through a series of formal processes, which parallel those enacted in the initial  creation of the plan. Basis of Accounting The General Fund budget is adopted on a cash basis of accounting, meaning that the City of Pittsburgh  recognizes revenues when they are received and expenditures when they are paid. The Fiscal Year The City of Pittsburgh’s fiscal year begins on the first day of January and ends on the last day of December of  each year. This can only be changed by ordinance. Balanced Budget Mandate The City’s Home Rule Charter requires that the annual Operating Budget be balanced, with estimated revenues  equal to or greater than estimated expenditures. Should revenues exceed expenditures at the end of a fiscal year,  the budget surplus is transferred into the City’s reserve fund balance.City of Pittsburgh Operating Budget Fiscal Year 2024 Budget Guide 20",What is the purpose of the Operating Budget according to the provided text?,"The Operating Budget functions as the financial plan for the current fiscal year, combining information on expenditures and revenues to outline what governmental services the City can execute and deliver to the public.",Basic factual questions,General Info and History of Pittsburgh/CMU,The Operating Budget plans the city's finances and services for the current fiscal year.
https://www.pittsburghpa.gov/Safety/Alerts/Public-Safety-Press-Release-Archive,"  Miquann Morgan-Graham, 20 of Homewood  Jacob Martin, 24, of Highland Park  Jesse Groves, 24, of Bloomfield  Michael Peterson, 25, of Larimer  Noah Wilkerson, 24, of Morningside    24/4/2018 17:40:33   MT. WASHINGTON MOTORCYCLE VS VEHICLE ACCIDENT  FOR IMMEDIATE RELEASE PITTSBURGH, PA (April 26, 2018) - Around 8:36 p.m. Zone 3 officers were dispatched to the 400 block of Woodruff Street for an accident involving a motorcycle and a vehicle. According to the initial police report, the operator of the motorcycle was heading northbound on Woodruff Street when he apparently crossed into oncoming traffic and collided with a car.  The motorcycle driver was thrown from the bike onto the road.   The motorcyclist suffered numerous injuries and was transported to UPMC Mercy hospital in critical condition. One person inside the vehicle was evaluated and treated by medics on the scene for minor injuries. The investigation continues.  ###",What was the approximate time that Zone 3 officers were dispatched to the scene of the motorcycle and vehicle accident?,Zone 3 officers were dispatched to the scene of the accident around 8:36 p.m.,Basic factual questions,General Info and History of Pittsburgh/CMU,8:36 p.m.
payroll_tax_regulations.pdf,"-9-  that portion of its Payroll Expense attributable to business activity for which a tax may  be imposed pursuant to Section 511 of the Internal Revenue Code. 26 U.S.C. § 511.   That section imposes a federal tax on unrelated business taxable income of a charity  that is exempt from  federal tax under Section 501(c) of the Internal Revenue Code.  26  U.S.C. § 501(c).  If the charity has purchased or is operating branches, affiliates,  subsidiaries or other business entities that do not independently meet the standards of  the “Institutio ns of Purely Public Charity Act”, the tax shall be paid on the payroll  attributable to such for -profit branches, affiliates or subsidiaries, whether or not the  employees are leased or placed under the auspices of the charity’s umbrella or parent  organizati on.  Local Tax Enabling Act, 53 P.S. § 6924.303(a.1).    g. By reason of the explicit language in the Local Tax Enabling Act , 53 P.S. §  6924.303(a.1), Institutions of Purely Public Charity are n ot exempt from the Payroll Tax.    However, Institutions of Purely Public Charity are exempt from Payroll Tax associated  with activities that are related to the charit able purposes for which the Institution was  formed.  For purposes of determining whether an activity is related to the cha ritable  purposes for which the Institution was formed or unrelated under Section 511 of the  Internal Revenue  Code, 26 U.S.C. § 511, the Treasurer will follow federal law in effect  on January 1, 20 20.  h. Any person, other than an Exempt Employer, that believes  that it is exempt from paying  the Payroll Tax, because of a tax  exemption granted under federal, state , or local law  shall file its  return , caption the return “ EXEMPT ,” and provid e a short citation to the legal  basis for its exemption.","According to the provided text, under what circumstances are Institutions of Purely Public Charity not exempt from Payroll Tax?","Institutions of Purely Public Charity are not exempt from Payroll Tax when the tax is attributable to for-profit branches, affiliates, or subsidiaries that do not independently meet the standards of the “Institutions of Purely Public Charity Act”.",Basic factual questions,General Info and History of Pittsburgh/CMU,"When the tax is attributable to for-profit branches, affiliates, or subsidiaries."
https://www.pittsburghpa.gov/City-Government/City-Controllers-Office/Unclaimed-Property,"   9/2/21 HUNTINGTON NATIONAL BANK   41 S HIGH STREET  COLUMBUS OH 43215   9/9/21 J MARSHALL CONSTRUCTION INC   1801 TILTON DRIVE  UPPER ST CLAIR PA 15241   4/29/21 JEWISH RESIDENTIAL SERVICES INC   4905 FIFTH AVENUE S3 PITTSBURGH PA 15213   4/22/21 JUERGEN, WILLIAM JUERGEN WILLIAM 1203 KIRSOPP AVENUE  PITTSBURGH PA 15220   3/25/21 KBDG BUILDERS LLC   5150 PENN AVE F2  PITTSBURGH PA 15224   2/25/21 KEIFFER, GLENN KEIFFER GLENN 3000 SWALLOW HILL ROAD APT 439 PITTSBURGH PA 15220",What is the address of J Marshall Construction Inc.?,"J Marshall Construction Inc. is located at 1801 Tilton Drive, Upper St Clair, PA 15241.",Basic factual questions,General Info and History of Pittsburgh/CMU,"1801 Tilton Drive, Upper St Clair, PA 15241"
